Levels;Contaminations;Depth
c(3);1;1
c(3, 9, 9, 3, 3, 6, 3);12;7
c(3, 9, 9, 18, 15, 9);21;6
c(3, 6, 9, 12, 12, 9, 6);19;7
c(3, 9, 18, 27, 27, 18, 9, 3);38;8
c(3, 6, 9, 3);7;4
c(3, 6, 12, 21, 21, 15, 9, 3);30;8
c(3, 6, 9, 6, 6, 9, 6);15;7
c(3, 9, 21, 27, 27, 30, 27, 12, 3);53;9
c(3, 9, 24, 21, 21, 12, 15, 3);36;8
c(3, 6, 9, 6, 6);10;5
c(3, 9, 15, 24, 24, 24, 6, 9, 6, 3);41;10
c(3, 6, 12, 6, 3, 3, 6);13;7
c(3, 9, 9, 18, 24, 15, 6);28;7
c(3, 3, 3, 6, 3, 3);7;6
c(3, 9, 18, 30, 18, 9);29;6
c(3, 3, 6, 6);6;4
c(3, 9, 27, 33, 45, 33, 18, 12);60;8
c(3, 6);3;2
c(3, 6, 15, 24, 24, 12, 6, 6);32;8
c(3, 6, 12, 12, 15, 15, 6);23;7
c(3, 3, 6, 3, 3);6;5
c(3, 6, 12, 12, 12, 3);16;6
c(3, 9, 12, 18, 3);15;5
c(3, 6, 12, 12, 9, 6, 3);17;7
c(3, 9, 15, 18, 21, 15, 3, 6);30;8
c(3, 6, 9, 12, 21, 15, 3);23;7
c(3, 6, 12, 21, 21, 15, 12);30;7
c(3, 9, 12, 15, 12, 6, 6, 6);23;8
c(3, 6, 9, 15, 15, 6);18;6
c(3, 6, 6, 9, 12, 12, 12, 3, 3);22;9
c(3, 6, 12, 21, 18, 15, 12, 9, 3);33;9
c(3, 9, 9, 15, 18, 12, 6);24;7
c(3, 6, 12, 12, 9, 9, 3);18;7
c(3, 6, 9, 9, 12, 9, 6, 6, 3, 3);22;10
c(3, 9, 21, 33, 27, 15, 6, 3);39;8
c(3, 9, 15, 24, 21, 21, 6);33;7
c(3, 6, 12, 15, 9, 12, 6, 6, 6);25;9
c(3, 9, 9, 15, 9, 3);16;6
c(3, 6, 12, 15, 18, 9, 12, 3, 3);27;9
c(3, 9, 9, 15, 9, 3);16;6
c(3, 6, 18, 12, 12, 12, 6);23;7
c(3, 6, 12, 18, 3);14;5
c(3, 6, 3);4;3
c(3, 9, 12, 12, 3);13;5
c(3, 3, 6, 9, 12, 3);12;6
c(3, 6);3;2
c(3, 3, 3);3;3
c(3, 9, 15, 21, 6, 3, 3);20;7
c(3, 6, 3, 6);6;4
c(3, 6, 9, 6, 6, 6);12;6
c(3, 6);3;2
c(3, 6, 6, 15, 21, 27, 6, 3);29;8
c(3, 6, 6, 6, 6);9;5
c(3, 6, 12, 12, 15, 12, 9);23;7
c(3, 6, 9, 6, 3);9;5
c(3, 9, 12, 12, 21, 6, 3, 6, 3);25;9
c(3, 9, 12, 15, 12, 6, 3);20;7
c(3, 9, 21, 21, 21, 9, 3);29;7
c(3, 9, 24, 36, 42, 39, 21, 6);60;8
c(3, 6, 12, 15, 12, 15, 18, 12, 3);32;9
c(3, 9, 18, 24, 27, 15, 12);36;7
c(3, 9, 12, 15, 12, 6, 6, 6);23;8
c(3, 6, 15, 21, 9, 6);20;6
c(3, 3, 6, 6, 6, 3);9;6
c(3, 9, 9, 15, 18, 6, 3);21;7
c(3, 6, 12, 18, 15, 6, 3);21;7
c(3, 3, 3);3;3
c(3, 6, 12, 9, 3, 3);12;6
c(3, 6, 15, 9, 3, 3);13;6
c(3, 9, 18, 18, 6);18;5
c(3, 6, 9, 9, 9, 6, 3, 3, 3);17;9
c(3, 6, 12, 9, 9, 6);15;6
c(3, 6, 9, 12, 9, 6, 3);16;7
c(3, 9, 6, 9, 3);10;5
c(3, 3, 6, 9, 6, 6, 3, 3, 3);14;9
c(3, 9, 15, 18, 24, 6, 3, 6);28;8
c(3, 9, 18, 24, 15, 18, 15, 3);35;8
c(3, 9, 12, 12, 15, 6);19;6
c(3, 3, 3);3;3
c(3, 6, 6, 6, 6);9;5
c(3, 9, 18, 18, 12, 6);22;6
c(3, 6, 9, 15, 15, 6, 3, 3);20;8
c(3, 6, 12, 12, 12, 6, 12, 3, 3);23;9
c(3, 9, 18, 27, 30, 33, 15, 6, 3, 3);49;10
c(3, 6, 9, 15, 12, 3, 3);17;7
c(3, 3, 6, 3, 6, 3);8;6
c(3, 6, 15, 18, 24, 12, 3);27;7
c(3, 6, 9, 12, 15, 6, 9);20;7
c(3, 9, 12, 9, 9, 9, 3, 3);19;8
c(3, 9, 18, 21, 18, 18, 9, 3);33;8
c(3, 6, 18, 21, 21, 9, 6, 6);30;8
c(3, 6);3;2
c(3, 6, 6, 9, 12, 9);15;6
c(3);1;1
c(3, 3, 9, 12, 18, 12, 9, 3);23;8
c(3, 9, 15, 21, 24, 21, 3, 3, 3);34;9
c(3, 9, 9, 6, 3, 3);11;6
c(3, 9, 15, 27, 27, 9, 3, 3);32;8
c(3, 3, 6, 9, 6);9;5
c(3, 9, 18, 21, 9, 12, 9, 3);28;8
c(3, 6, 9, 12, 15, 9, 9, 6, 6);25;9
c(3, 3, 6, 9, 9);10;5
c(3, 3, 3, 3, 3);5;5
c(3, 6);3;2
c(3, 6, 3, 3);5;4
c(3, 9, 12, 18, 18, 15, 9);28;7
c(3, 3, 6, 3, 6);7;5
c(3, 6, 9, 15, 24, 15);24;6
c(3, 9, 15, 12, 12, 9, 6, 6);24;8
c(3, 3, 6, 6, 6, 3, 3, 3);11;8
c(3, 6, 6, 6, 3, 3);9;6
c(3, 3, 3, 9, 9, 3);10;6
c(3, 6, 15, 24, 27, 15, 12, 3);35;8
c(3, 9, 12, 15, 12, 3, 3, 3);20;8
c(3, 9, 15, 24, 27, 18, 12, 6);38;8
c(3, 9, 9, 9, 9);13;5
c(3, 3, 9, 15);10;4
c(3, 6, 12, 15, 21, 18, 18, 6);33;8
c(3, 9, 18, 24, 30, 18, 15, 9, 3);43;9
c(3, 9, 21, 33, 18, 6, 6, 6);34;8
c(3, 6, 12, 27, 33, 24, 18, 3);42;8
c(3, 9, 24, 33, 42, 27, 18, 12, 3);57;9
c(3, 9, 18, 24, 24, 21, 3);34;7
c(3, 9, 15, 18, 15, 3);21;6
c(3, 9, 12, 12, 6, 3);15;6
c(3, 9, 6, 12, 12, 6, 3, 6, 3);20;9
c(3, 9, 12, 6, 12, 9);17;6
c(3, 6, 12, 27, 27, 21, 9, 6, 3);38;9
c(3, 9, 21, 36, 21, 18, 18, 3);43;8
c(3, 9, 12, 15, 18, 12);23;6
c(3, 6, 9, 9, 6, 3);12;6
c(3, 6, 3, 9, 12, 12, 3);16;7
c(3, 9, 18, 24, 12, 6);24;6
c(3, 6, 12, 3, 3);9;5
c(3, 9, 12, 6, 9, 3, 6);16;7
c(3, 6, 15, 15, 9, 3, 3);18;7
c(3, 9, 9, 3, 3);9;5
c(3, 9, 15, 12, 12, 9, 6, 6, 3);25;9
c(3, 9, 9, 9);10;4
c(3, 9, 15, 27, 33, 24, 3);38;7
c(3, 9, 12, 24, 15, 15, 9, 6);31;8
c(3, 9, 9, 18, 15, 6, 3);21;7
c(3, 3, 9, 12, 21, 15, 9);24;7
c(3, 6, 15, 21, 24, 12, 9);30;7
c(3, 9, 18, 21, 24, 21, 15, 12, 6);43;9
c(3, 9, 15, 21, 30, 27, 12, 3);40;8
c(3, 3, 6, 9, 12, 12, 6);17;7
c(3, 9, 9, 12, 15, 9);19;6
c(3, 6, 12, 18, 21, 15, 9, 3);29;8
c(3, 3, 9, 9, 6, 12, 9, 6);19;8
c(3, 9, 12, 15, 21, 24, 12, 3, 3);34;9
c(3, 9, 15, 21, 30, 24, 18, 6, 9, 6, 3, 3);49;12
c(3, 9, 15, 21, 12, 12, 9, 3);28;8
c(3, 6, 6, 3, 3, 3, 3, 3);10;8
c(3, 6, 12, 12, 9);14;5
c(3, 6, 15, 21, 18, 18, 6, 9, 12);36;9
c(3, 9, 15, 15, 18, 15, 15, 9, 6, 6, 3);38;11
c(3, 6, 9, 18, 15, 12, 3);22;7
c(3, 3);2;2
c(3, 6, 12, 21, 21, 39, 21, 6);43;8
c(3, 6, 9, 21, 18, 6);21;6
c(3, 6, 12, 12, 6, 3, 3, 3);16;8
c(3, 6, 12, 18, 27, 12, 9);29;7
c(3, 9, 12, 15, 18, 6, 3);22;7
c(3, 6, 15, 24, 21, 12, 6, 3, 6);32;9
c(3, 6, 6, 9, 9, 3, 6, 3);15;8
c(3, 6, 3, 3, 3, 3, 6, 3);10;8
c(3, 9, 15, 15, 18, 15, 9, 3);29;8
c(3, 6, 12, 18, 27, 9, 3);26;7
c(3, 6, 12, 18, 24, 9, 6, 3);27;8
c(3, 6, 6, 3, 6);8;5
c(3, 3, 9, 12, 9, 12, 12, 9, 3);24;9
c(3, 9, 15, 18, 18, 18, 12, 3);32;8
c(3, 9, 18, 21, 21, 12, 3);29;7
c(3, 9, 18, 18, 15, 18, 9, 3);31;8
c(3, 6, 9, 3, 6, 3);10;6
c(3, 9, 15, 12, 12, 15, 6);24;7
c(3, 6, 9, 15, 9, 15, 9);22;7
c(3, 9, 18, 18, 24, 24, 12, 3, 3);38;9
c(3, 9, 18, 24, 27, 12, 3);32;7
c(3, 6, 9, 12, 12, 12, 6);20;7
c(3, 3, 3, 6, 3, 3);7;6
c(3, 9, 9, 18, 18, 9, 6);24;7
c(3, 6, 9, 24, 18, 12, 3);25;7
c(3, 9, 24, 42, 15, 15, 9, 3);40;8
c(3, 6, 6, 6, 9, 12, 6);16;7
c(3, 9, 15, 12, 21);20;5
c(3, 6, 9, 6, 6);10;5
c(3, 9, 9, 9, 6, 6, 3, 3);16;8
c(3, 3, 6, 6, 9);9;5
c(3, 6, 9, 9, 9, 6);14;6
c(3, 6, 6, 12, 9, 9, 3, 3);17;8
c(3, 6, 6, 3, 3);7;5
c(3, 6, 12, 3);8;4
c(3, 9, 12, 24, 21, 21, 9, 6);35;8
c(3, 6, 12, 12, 12, 15, 9, 3);24;8
c(3, 9, 18, 27, 18, 15);30;6
c(3, 3, 9, 12, 15, 9, 3);18;7
c(3, 9, 9, 12, 6);13;5
c(3, 9, 12, 27, 27, 30, 12, 3, 3);42;9
c(3, 6, 6, 3, 3);7;5
c(3, 6, 6, 12, 6, 9, 15, 6, 3, 3);23;10
c(3, 6, 12, 12, 15, 6, 6, 9);23;8
c(3, 9, 18, 21, 24, 15, 6);32;7
c(3, 9, 21, 27, 39, 9, 12);40;7
c(3, 3, 9, 12, 3, 3, 6);13;7
c(3, 9, 18, 15, 15, 9);23;6
c(3, 6, 9, 12, 9, 6, 9, 3);19;8
c(3, 9, 18, 24, 12, 6, 3, 3);26;8
c(3, 6, 12, 18, 12, 15);22;6
c(3, 9, 9, 15, 15, 3, 3, 3);20;8
c(3, 9, 12, 9, 21, 24, 15, 6);33;8
c(3, 9, 6, 6, 3, 3, 3);11;7
c(3, 6, 9, 15, 18, 9, 3, 3, 3);23;9
c(3, 6, 18, 21, 21, 12);27;6
c(3, 6, 12, 12, 12, 6, 3);18;7
c(3, 6, 12, 9, 9, 6, 9, 3, 3, 3);21;10
c(3, 3, 6, 3, 3, 3, 3);8;7
c(3, 3, 6, 15, 18, 12, 3);20;7
c(3, 6, 9, 12, 18, 21, 9);26;7
c(3, 6, 9, 15, 9, 12, 3);19;7
c(3, 3, 9, 6, 6, 6, 3);12;7
c(3, 9, 12, 18, 15, 12, 3);24;7
c(3, 9, 15, 12, 21, 9);23;6
c(3, 9, 15, 15, 12, 15, 9);26;7
c(3, 6, 9, 15, 15, 3, 3);18;7
c(3, 3, 3, 6, 6, 6, 3);10;7
c(3, 3, 3, 3);4;4
c(3, 6, 6, 12, 6, 3, 3, 3);14;8
c(3, 6, 9, 18, 24, 6);22;6
c(3, 6, 6, 12, 3);10;5
c(3, 9, 18, 30, 27, 12, 9, 6);38;8
c(3, 9, 18, 12, 18, 15, 6);27;7
c(3, 6, 3, 6);6;4
c(3, 9, 9, 12, 6, 9, 3);17;7
c(3, 6, 12, 24, 24, 18, 6);31;7
c(3, 9, 15, 24, 21, 21, 12, 9, 3);39;9
c(3, 6, 12, 12, 6);13;5
c(3, 6, 9, 6, 6, 15, 6);17;7
c(3, 9, 15, 30, 36, 30, 21, 9);51;8
c(3, 6, 12, 18, 9, 9);19;6
c(3, 9, 18, 18, 9, 3, 3, 3, 3, 3);24;10
c(3, 9, 18, 15, 18, 15, 6, 3, 3, 6, 9);35;11
c(3, 9, 18, 21, 12, 6);23;6
c(3, 6, 9, 12, 12, 6, 3);17;7
c(3, 9, 21, 24, 9, 3);23;6
c(3, 9, 21, 36, 39, 30, 9, 12, 12, 3);58;10
c(3, 9, 15, 21, 12, 6, 6);24;7
c(3, 3, 6, 3, 6, 12);11;6
c(3, 9, 15, 24, 24, 24, 15, 6);40;8
c(3, 9, 15, 18, 15, 15);25;6
c(3, 6, 15, 21, 15, 9);23;6
c(3, 6, 15, 18, 18, 15, 6);27;7
c(3, 9, 12, 18, 18, 6, 6, 3);25;8
c(3, 9, 9, 18, 24, 15, 6);28;7
c(3, 9, 12, 9, 21, 15, 6, 3);26;8
c(3, 9, 15, 12, 18, 12, 15);28;7
c(3, 6, 18, 18, 18, 12, 6, 3, 3);29;9
c(3, 6, 12, 15, 18, 9, 3);22;7
c(3, 3, 3, 3);4;4
c(3, 6, 12, 18, 15, 18, 3);25;7
c(3, 3, 9, 15, 12, 12, 3, 3);20;8
c(3, 9, 18, 12, 12, 12);22;6
c(3, 3, 6, 12, 9, 9, 9, 3);18;8
c(3, 6, 6, 6, 9, 6, 3);13;7
c(3, 9, 15, 27, 27, 21, 12, 3);39;8
c(3, 9, 18, 12, 18, 18, 12, 6);32;8
c(3, 6, 12, 12, 6, 12, 9, 9, 3);24;9
c(3, 6, 12, 15, 12, 18, 3, 3, 3);25;9
c(3, 6, 6, 9, 15, 6, 3, 6, 3);19;9
c(3, 6, 12, 15, 15, 15, 6, 3);25;8
c(3, 6, 6, 9, 9, 15, 6, 3);19;8
c(3, 9, 12, 15, 12, 12);21;6
c(3, 6, 9, 9, 6);11;5
c(3, 9, 21, 30, 24, 18, 6, 3);38;8
c(3, 9, 9, 9, 9, 6, 3);16;7
c(3, 6, 9, 3, 3, 3, 6, 3);12;8
c(3, 3, 6, 6, 3, 6, 6, 3, 3);13;9
c(3, 6, 6, 12, 9, 9, 6, 3, 3);19;9
c(3, 6, 15, 15, 15, 12, 6);24;7
c(3, 9, 15, 18, 15, 6);22;6
c(3, 9, 12, 21, 24, 24, 12, 6, 3);38;9
c(3, 9, 12, 15, 9, 9, 3);20;7
c(3, 9, 15, 15, 12, 9, 12, 3);26;8
c(3, 6, 6, 12, 12, 9, 3);17;7
c(3, 9, 15, 15, 6, 3);17;6
c(3, 6, 3);4;3
c(3, 6, 9, 12, 15, 12);19;6
c(3, 3, 6, 6, 3);7;5
c(3, 6, 9, 12, 9, 3, 3, 3);16;8
c(3, 9, 9, 12, 12, 15, 9, 3, 3);25;9
c(3, 9, 21, 21, 9, 3);22;6
c(3, 9, 9, 18, 12, 6, 6, 6);23;8
c(3, 6, 12, 18, 9, 6, 3, 3);20;8
c(3, 9, 18, 24, 30, 18, 9);37;7
c(3, 9, 21, 33, 33, 18, 9, 3);43;8
c(3, 9, 21, 18, 12);21;5
c(3, 9, 6, 12, 6);12;5
c(3, 9, 21, 18, 24, 3, 3);27;7
c(3, 9, 18, 15, 6, 6, 6, 3, 3);23;9
c(3, 9, 9, 9, 6, 6, 6);16;7
c(3, 9, 15, 15, 15, 15, 3);25;7
c(3, 3, 3);3;3
c(3, 6, 12, 15, 9, 3, 3, 3);18;8
c(3, 3, 3, 3);4;4
c(3, 6, 15, 21, 15, 15, 9, 6);30;8
c(3, 6, 12, 18, 24, 6, 12);27;7
c(3, 3, 9, 9, 6, 3);11;6
c(3, 9, 15, 18, 27, 12, 6);30;7
c(3, 6, 9, 15, 15, 9, 6, 3);22;8
c(3, 6, 12, 15, 12, 9, 6);21;7
c(3, 9, 18, 27, 18, 21, 12, 3);37;8
c(3, 3, 6);4;3
c(3, 9, 18, 12, 6);16;5
c(3, 6, 12, 15, 9, 9, 6, 3);21;8
c(3, 6, 15, 15, 3, 6);16;6
c(3, 6, 9, 12, 9, 9, 3, 3);18;8
c(3, 6, 9, 9, 9, 9, 3, 3, 3);18;9
c(3, 9, 18, 21, 12, 9, 12, 3);29;8
c(3, 3, 6, 12, 6, 6, 3);13;7
c(3, 9, 18, 27, 24, 6, 6);31;7
c(3, 6, 12, 12, 9, 6);16;6
c(3, 6, 6, 9, 12, 3);13;6
c(3, 6, 12, 21, 27, 15, 6);30;7
c(3, 9, 18, 27, 30, 30, 6, 3, 6);44;9
c(3, 9, 15, 24, 15, 12, 9, 3);30;8
c(3, 6, 6, 6, 9, 9);13;6
c(3, 6, 6, 6, 9, 6, 3, 3);14;8
c(3, 9, 12, 24, 39, 21, 9, 6, 3);42;9
c(3, 9, 12, 12, 12, 9);19;6
c(3, 9, 12, 15, 12, 9, 3, 3, 3);23;9
c(3, 6, 12, 12, 21, 12, 3);23;7
c(3, 3, 6, 9, 6, 3);10;6
c(3, 6, 3, 9, 15, 6, 3);15;7
c(3, 9, 24, 21, 12, 15, 12);32;7
c(3, 6, 9, 9, 6, 6);13;6
c(3, 6, 6, 6, 9, 9, 6);15;7
c(3, 6, 9, 6, 9, 9, 6);16;7
c(3, 3, 3);3;3
c(3, 9, 15, 18, 18, 12, 3, 3);27;8
c(3, 3, 6, 6, 3);7;5
c(3, 6, 6, 12, 18, 21, 12, 3);27;8
c(3, 6, 12, 24, 21, 36, 9, 12, 9);44;9
c(3, 6, 9, 18, 21, 9, 9, 6);27;8
c(3, 9, 12, 21, 21, 15, 9, 6);32;8
c(3, 6, 15, 21, 18, 12, 9);28;7
c(3, 6, 9, 12, 15, 12, 3, 3);21;8
c(3, 9, 12, 12, 15, 21, 12, 9);31;8
c(3, 9, 21, 30, 30, 15, 6, 3, 3);40;9
c(3, 9, 18, 24, 27, 15, 6, 3, 3);36;9
c(3, 9, 18, 24, 33, 18, 9, 3);39;8
c(3, 6, 9, 18, 18, 15, 6);25;7
c(3, 9, 15, 24, 24, 30, 9, 6);40;8
c(3, 6, 9, 12, 9, 9, 3, 3, 3, 3);20;10
c(3, 6, 9, 12, 21, 15, 9);25;7
c(3, 3, 6, 12, 12, 9, 9, 3);19;8
c(3, 6, 12, 15, 18, 12, 9, 3);26;8
c(3, 9, 9, 6, 12, 6);15;6
c(3, 9, 9, 12, 3, 3, 3);14;7
c(3, 9, 18, 21, 15, 18, 6, 6);32;8
c(3, 6, 6, 6, 3, 3);9;6
c(3, 9, 18, 6, 6, 9);17;6
c(3, 9, 18, 27, 27, 21, 9, 9, 6, 3);44;10
c(3, 9, 12, 15, 18, 15, 6, 6);28;8
c(3, 9, 18, 24, 45, 30, 12, 3);48;8
c(3, 3);2;2
c(3, 9, 15, 33, 33, 42, 15);50;7
c(3, 6, 15, 15, 12, 12);21;6
c(3, 3, 6, 12, 24, 3, 3);18;7
c(3, 9, 18, 27, 27, 24, 9, 9, 6);44;9
c(3, 6, 15, 12, 6, 3, 3);16;7
c(3, 9, 18, 36, 30, 21, 12);43;7
c(3, 9, 12, 18, 21, 18, 6);29;7
c(3, 3, 6, 9, 6, 3);10;6
c(3, 3, 6, 3, 6, 6);9;6
c(3, 9, 18, 21, 15, 6, 6, 3, 3, 3);29;10
c(3, 9, 18, 21, 18, 12, 6);29;7
c(3, 9, 18, 21, 21, 12, 6);30;7
c(3, 6, 9, 9, 12, 6, 6);17;7
c(3, 6, 12, 12);11;4
c(3, 6, 12, 24, 21, 15, 6);29;7
c(3, 6, 15, 24, 24, 21, 15, 9);39;8
c(3, 6, 9, 12, 15, 9, 3);19;7
c(3, 9, 15, 15, 18, 12, 3, 3, 3);27;9
c(3, 6, 6, 6, 6);9;5
c(3, 9, 12, 12, 9);15;5
c(3, 9, 18, 27, 21, 18, 6, 3);35;8
c(3, 9, 18, 27, 30, 18, 6, 3, 3);39;9
c(3, 6, 3, 6, 9, 6, 6, 9, 3, 3);18;10
c(3, 6, 9, 15, 12, 9, 3);19;7
c(3, 9, 9, 15, 15, 9, 9);23;7
c(3, 9, 18, 15, 21, 21, 12, 9, 3);37;9
c(3, 3);2;2
c(3, 9, 24, 39, 39, 48, 21, 6, 3);64;9
c(3, 9, 24, 27, 33, 24, 9, 9, 3);47;9
c(3, 6, 9, 9, 9, 6, 9, 3, 3, 3);20;10
c(3, 9, 15, 27, 12, 3);23;6
c(3, 6, 12, 6, 3);10;5
c(3, 9, 9, 15, 12, 6, 3);19;7
c(3, 6, 6, 6, 3, 6, 3, 3);12;8
c(3, 6, 6, 12, 15, 15, 15, 3);25;8
c(3, 9, 18, 24, 18, 15, 3, 3);31;8
c(3, 6, 12, 21, 24, 18, 9);31;7
c(3, 6, 6, 9, 6, 3);11;6
c(3, 3, 3, 3, 3);5;5
c(3, 6, 15, 15, 15, 12);22;6
c(3, 6, 12, 15, 12, 9, 9, 6, 6, 3);27;10
c(3, 6, 15, 24, 15, 6, 3);24;7
c(3, 9, 9, 15, 21, 15, 9);27;7
c(3, 6, 12, 24, 24, 18, 12);33;7
c(3, 9, 15, 24, 15, 12, 18, 6);34;8
c(3, 6, 9, 18, 18, 18, 15, 3);30;8
c(3, 6, 6, 3, 6, 6, 3);11;7
c(3, 6, 15, 18, 15, 9, 9, 3);26;8
c(3, 9, 21, 27, 18, 21, 6);35;7
c(3, 6, 9, 12, 3, 3);12;6
c(3, 9, 18, 18, 18, 12);26;6
c(3, 6, 9, 6, 6);10;5
c(3, 9, 15, 15, 3, 3, 3, 3);18;8
c(3, 3, 3, 3, 3, 3, 6, 6);10;8
c(3, 6, 6, 3, 3);7;5
c(3, 6, 9, 12, 6, 3, 3);14;7
c(3, 9, 18, 21, 30, 24, 12, 6);41;8
c(3, 6, 12, 21, 18, 9);23;6
c(3, 3, 6, 12, 21, 15, 6);22;7
c(3, 9, 9, 18, 27, 24, 15, 9);38;8
c(3, 9, 24, 48, 51, 48, 15, 3);67;8
c(3, 6, 6, 9, 3);9;5
c(3, 6, 6, 6, 6, 9, 3);13;7
c(3, 6, 9, 9, 3);10;5
c(3, 9, 18, 30, 18, 12, 6, 3);33;8
c(3, 6, 9, 15, 15, 3, 3, 3);19;8
c(3, 6, 6, 9, 9, 6, 9, 6, 6);20;9
c(3, 6, 12, 15, 12, 15, 9, 3);25;8
c(3, 9, 15, 15, 9, 3);18;6
c(3, 9, 12, 9, 6);13;5
c(3, 6, 6, 3, 3);7;5
c(3, 6, 15, 18, 15, 6, 3, 3);23;8
c(3, 9, 18, 18, 18, 3);23;6
c(3, 6, 9, 12, 6, 6);14;6
c(3, 3);2;2
c(3, 6, 6, 3, 6, 3, 3, 3);11;8
c(3, 9, 18, 33, 30, 21, 9, 3);42;8
c(3, 9, 6, 3, 9, 3, 3, 6);14;8
c(3, 3, 6, 3, 3, 3, 3);8;7
c(3, 9, 15, 9, 6, 6);16;6
c(3, 6, 12, 21, 21, 24, 24, 6, 3);40;9
c(3, 9, 18, 27, 18, 15, 9);33;7
c(3, 9, 15, 27, 27, 24, 15, 15, 6, 3);48;10
c(3, 9, 9, 6, 12, 9);16;6
c(3, 3, 6, 3, 3, 6, 3);9;7
c(3, 6, 12, 21, 12, 3);19;6
c(3, 6, 3, 6, 9, 12, 12, 6, 6);21;9
c(3, 9, 9, 18, 21, 21, 9);30;7
c(3, 6, 6, 9, 9, 3);12;6
c(3, 6, 9, 15, 15, 6, 3);19;7
c(3, 6, 12, 15, 18, 6, 3);21;7
c(3, 9, 21, 21, 12, 12, 6, 6, 3);31;9
c(3, 9, 9, 12, 9, 6);16;6
c(3, 9, 12, 18, 21, 12, 15, 6);32;8
c(3, 6, 12, 15, 21, 12, 6);25;7
c(3, 3, 3, 3, 3, 6);7;6
c(3, 9, 12, 18, 15, 3, 3, 3, 3);23;9
c(3, 9, 6, 9, 12, 15, 12, 3, 3);24;9
c(3, 3, 3, 3);4;4
c(3, 9, 12, 18, 15, 12, 3);24;7
c(3, 6, 3, 9, 3);8;5
c(3, 3, 3, 9, 15, 6);13;6
c(3, 6, 12, 21, 15, 12, 9, 6, 3);29;9
c(3, 3, 6, 6, 3);7;5
c(3, 3, 6, 3);5;4
c(3, 9, 12, 21, 24, 18, 18, 6);37;8
c(3, 6, 12, 24, 21, 18, 9, 9, 6);36;9
c(3, 9, 18, 33, 45, 42, 15, 3);56;8
c(3, 9, 21, 27, 24, 21, 9, 3);39;8
c(3, 6, 6, 12, 6);11;5
c(3, 9, 15, 18, 12, 12, 9);26;7
c(3, 6, 12, 12, 12, 9, 6, 6);22;8
c(3, 9, 18, 15, 6, 9, 12, 3);25;8
c(3, 6, 9, 15, 6, 3);14;6
c(3, 6, 6, 9, 9, 9, 9);17;7
c(3, 9, 15, 24, 33, 30, 12, 3);43;8
c(3, 6, 15, 15, 30, 15, 9, 9, 3);35;9
c(3, 9, 12, 18, 21, 9);24;6
c(3, 6, 15, 15, 9, 6);18;6
c(3, 6, 3, 3, 3, 3, 3);8;7
c(3, 6, 12, 21, 24, 9);25;6
c(3, 6, 12, 9, 6, 9, 6, 3);18;8
c(3, 9, 18, 18, 18, 12, 6, 3);29;8
c(3, 9, 21, 36, 48, 24, 12, 9);54;8
c(3, 9, 9, 9, 6, 3, 3);14;7
c(3, 9, 18, 27, 27, 12, 6, 3);35;8
c(3, 9, 12, 18, 12, 3);19;6
c(3, 6, 9, 12, 18, 12, 6);22;7
c(3, 6, 12, 27, 24, 12);28;6
c(3, 9, 15, 21, 24, 15, 3);30;7
c(3, 9, 18, 33, 39, 39, 30, 9);60;8
c(3, 9, 24, 27, 39, 36, 15);51;7
c(3, 6, 12, 18, 27, 21, 9);32;7
c(3, 6, 6);5;3
c(3, 3, 9, 6);7;4
c(3, 6, 18, 24, 33, 18, 12, 6, 9, 3);44;10
c(3, 9, 12, 12, 6, 6);16;6
c(3, 9, 6, 3, 3, 6, 3);11;7
c(3, 9, 6, 6, 3, 3);10;6
c(3, 9, 15, 24, 42, 36, 15, 6, 6);52;9
c(3, 9, 12, 18, 15, 9, 3);23;7
c(3, 6, 15, 18, 18, 21, 12);31;7
c(3, 6, 9, 6, 3);9;5
c(3, 9, 12, 18, 24, 24, 12, 3);35;8
c(3, 9, 24, 27, 15, 9, 3);30;7
c(3);1;1
c(3, 6, 15, 12, 15, 12, 12);25;7
c(3, 6, 15, 15, 9, 9, 3);20;7
c(3, 9, 18, 24, 15, 9, 9);29;7
c(3, 9, 15, 21, 30, 18, 9, 3);36;8
c(3, 9, 12, 15, 12, 12, 9, 15);29;8
c(3, 3, 6, 3);5;4
c(3, 6, 9, 15, 9, 9, 3);18;7
c(3, 6, 15, 18, 15, 12, 6, 3, 3, 6);29;10
c(3, 9, 15, 21, 15, 9, 3);25;7
c(3, 9, 21, 27, 24, 9, 9, 6);36;8
c(3, 3, 6, 3);5;4
c(3, 6, 6, 6, 6, 6, 3);12;7
c(3, 9, 21, 24, 18, 12, 6);31;7
c(3, 6, 3, 3);5;4
c(3, 6, 12, 12, 9, 12);18;6
c(3, 6, 9, 12, 18, 15, 12, 9);28;8
c(3, 9, 15, 24, 27, 9, 9);32;7
c(3, 6, 9, 6, 3, 3);10;6
c(3, 6, 15, 15, 18, 9, 3, 6);25;8
c(3, 6, 15, 15, 15, 9, 3);22;7
c(3, 9, 27, 33, 30, 24, 27, 9, 9);57;9
c(3, 9, 21, 12, 3, 3, 6);19;7
c(3, 3, 6, 6, 6);8;5
c(3, 9, 18, 15, 9);18;5
c(3, 9, 21, 21, 18, 18, 3);31;7
c(3, 9, 15, 21, 21, 18, 9, 3);33;8
c(3, 3, 6, 9, 9);10;5
c(3, 9, 24, 27, 42, 36, 18, 3, 3);55;9
